,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,950.1546963214874,79.1743797973257,17.459234380722044,0.9862192386508972,1000,4,8,sqrt,20,False,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.6771210025736727,0.6885994574111101,0.6965871239147683,0.6948273161598921,0.7034312786469779,0.6921132357412842,0.00886108003155672,1
54,1153.8173287391662,51.12714084061426,22.213860082626343,0.21334114804981444,1250,3,8,sqrt,20,False,"{'n_estimators': 1250, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.6779165180245563,0.6889913017966621,0.6963189396836632,0.6942454778444345,0.7029708492919238,0.6920886173282479,0.008383464787355615,2
58,562.3362463474274,43.91560382548897,10.038651037216187,0.11236564733447701,1000,3,6,auto,10,False,"{'n_estimators': 1000, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",0.6757664710203537,0.6908784791529083,0.6935567174487566,0.6948318483044414,0.7038898243651287,0.6917846680583178,0.009125394132706527,3
83,702.4503464698792,68.1083976517788,12.680680465698241,1.8200850101507005,750,2,6,auto,20,False,"{'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.6785106488634801,0.6872286128023808,0.696320309601411,0.6938393657280827,0.7029649358136454,0.6917727745618001,0.008327649507588098,4
56,490.2485529899597,55.67259683535449,10.610315322875977,1.8794836558039363,1250,4,8,auto,10,True,"{'n_estimators': 1250, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",0.6772601030496509,0.6898917276598757,0.6925939506715451,0.6948062194265754,0.7042719857528554,0.6917647973121005,0.00872080331200828,5
37,307.795672416687,28.44412776007887,7.472047138214111,1.5751528729254312,750,2,8,auto,10,True,"{'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",0.6758726599926598,0.6902195070580506,0.6930619374061749,0.6950440028996593,0.7040133909459853,0.6916422996605059,0.009136046517976644,6
77,804.8335764408112,69.48097761525413,14.863115167617797,0.2381813393517172,1500,4,6,auto,10,False,"{'n_estimators': 1500, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",0.674274985145302,0.6907366617369808,0.6935972555981118,0.694748271905841,0.704400621029379,0.691551559083123,0.009784133121690788,7
0,1146.4543788433075,41.59311657357967,21.704216480255127,1.24690060794931,1250,3,6,auto,20,False,"{'n_estimators': 1250, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.6781225830792861,0.6880728961837839,0.6962860388257521,0.6927728390974526,0.7020676511047816,0.6914644016582112,0.008085734656913238,8
86,403.9681875228882,28.31970366308234,7.650061464309692,0.5597428314744758,750,3,6,sqrt,10,False,"{'n_estimators': 750, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.6734692412146092,0.6906360892959986,0.6939736062513914,0.6948810169356081,0.7042881279503176,0.6914496163295849,0.010069042967330112,9
60,584.1074990272522,65.60413021098067,14.57447681427002,0.2561820581377071,1500,3,8,auto,10,True,"{'n_estimators': 1500, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",0.6760500145264963,0.6898536448377284,0.6927641857836786,0.6945366424457597,0.7038433270735703,0.6914095629334468,0.008994984473816062,10
