,xgb_sens,xgb_ppv,xgb_npv,lr_sens,lr_ppv,lr_npv
90,0.545455,0.263598,0.96626,0.367965,0.194508,0.953695
70,0.78355,0.150207,0.979036,0.601732,0.119518,0.962093
50,0.883117,0.107368,0.984024,0.744589,0.092126,0.965757
30,0.943723,0.0843,0.987052,0.891775,0.080062,0.975418
10,0.987013,0.069789,0.990712,0.982684,0.069504,0.987654
